﻿交易所,代码,公司,行业,PE-TTM(扣非)  (最近时间),PB(不含商誉)  (最近时间),股息率 % (最近时间),股价  (最近时间),PB(不含商誉)分位点(10年) % (最近时间)
sz,="000983",西山煤电,煤炭,9.9,0.97,5.04,5.95,1.82
sz,="000726",鲁泰Ａ,纺织品,9.87,1.13,5.34,9.37,1.38
sz,="000719",中原传媒,传媒,9.86,0.93,3.54,7.07,1.01
sh,="600820",隧道股份,建筑与工程,9.85,0.9,3.18,5.97,2.58
sz,="000581",威孚高科,汽车零配件与设备,9.67,1.06,7.16,16.77,0.37
sh,="600350",山东高速,交通基本设施,9.64,0.88,4.51,4.9,30.96
sz,="002394",联发股份,纺织品,9.51,1.01,6.3,9.52,1.57
sh,="603980",吉华集团,化学制品,9.48,1.42,3.56,9.02,10.58
sz,="002091",江苏国泰,工业贸易经销商,9.32,1.08,3.64,5.5,1.01
sz,="000828",东莞控股,交通基本设施,9.29,1.36,3.22,8.38,11.85
sz,="000709",河钢股份,黑色金属,9.26,0.59,4.03,2.55,18.13
sz,="002936",郑州银行,银行,9.25,0.95,3.07,4.89,10.59
sh,="600395",盘江股份,煤炭,9.17,1.45,7.53,5.31,12.54
sh,="600908",无锡银行,银行,8.97,1.02,3.15,5.71,12.23
sh,="600177",雅戈尔,住宅地产开发和管理,8.93,1.18,5.44,6.56,18.07
sh,="600308",华泰股份,纸类与林业产品,8.92,0.66,4.2,4.41,24.11
sh,="600596",新安股份,农用化工,8.88,1.24,5.5,9.63,6.18
sh,="600708",光明地产,住宅地产开发和管理,8.81,0.73,5.33,3.75,1.61
sh,="600565",迪马股份,住宅地产开发和管理,8.7,1.05,8.16,3.43,8.27
sz,="002233",塔牌集团,建筑材料,8.68,1.33,7.39,9.88,1.39
sh,="600449",宁夏建材,建筑材料,8.42,0.89,3.18,9.44,13.69
sh,="600012",皖通高速,交通基本设施,8.35,0.95,4.46,5.6,6.47
sh,="600665",天地源,住宅地产开发和管理,8.34,0.89,4.12,3.54,1.12
sh,="600502",安徽建工,建筑与工程,8.27,1.03,3.55,4.23,4.11
sh,="601088",中国神华,煤炭,8.12,1.17,4.71,18.68,28.3
sz,="000778",新兴铸管,黑色金属,8.06,0.77,5.04,3.97,1.91
sh,="601699",潞安环能,煤炭,7.94,0.87,3.64,7.37,0.71
sh,="601006",大秦铁路,陆运,7.87,1.06,6.26,7.67,2.15
sz,="000877",天山股份,建筑材料,7.86,1.31,3.51,10.83,51.17
sh,="600823",世茂股份,住宅地产开发和管理,7.82,0.68,5.87,4.43,6.37
sz,="002128",露天煤业,煤炭,7.82,1.02,4.75,8.42,1.71
sh,="600743",华远地产,住宅地产开发和管理,7.79,0.76,4.78,2.51,3.04
sh,="600019",宝钢股份,黑色金属,7.63,0.78,8.38,5.97,30.03
sh,="600985",淮北矿业,化学制品,7.52,1.33,4.78,10.46,5.35
sh,="600970",中材国际,专用设备,7.51,1.3,4.25,6.23,1.55
sz,="000036",华联控股,住宅地产开发和管理,7.49,1.38,10.81,4.27,2.19
sh,="601229",上海银行,银行,7.38,1,3.47,9.98,59.32
sz,="000402",金融街,住宅地产开发和管理,7.29,0.75,3.72,8.06,14.6
sh,="600325",华发股份,住宅地产开发和管理,7.29,1.32,4.53,7.72,54.55
sh,="600808",马钢股份,黑色金属,7.2,0.84,13.38,2.69,31.13
sh,="600383",金地集团,住宅地产开发和管理,7.11,1.31,4.63,12.97,32.24
sh,="601939",建设银行,银行,7.01,0.97,4.16,7.36,31.71
sh,="600123",兰花科创,煤炭,7,0.74,4.57,6.56,0.91
sz,="000900",现代投资,交通基本设施,6.94,0.75,3.22,4.66,9.1
sh,="601818",光大银行,银行,6.73,0.82,3.48,4.62,26.23
sh,="601398",工商银行,银行,6.71,0.91,4.38,5.72,19.03
sh,="601577",长沙银行,银行,6.62,1.01,3.04,9.2,45.42
sh,="600971",恒源煤电,煤炭,6.6,0.88,5.85,5.84,13.97
sh,="601166",兴业银行,银行,6.58,0.87,3.62,19.07,13.82
sz,="000898",鞍钢股份,黑色金属,6.55,0.57,5.42,3.12,21.24
sh,="600348",阳泉煤业,煤炭,6.52,0.78,5.28,5.3,2.6
sh,="600606",绿地控股,住宅地产开发和管理,6.5,1.31,4.14,7.24,17.3
sh,="601009",南京银行,银行,6.49,1.13,4.29,9.14,35.36
sz,="000830",鲁西化工,农用化工,6.47,1.38,5.17,9.67,35.62
sh,="601588",北辰实业,住宅地产开发和管理,6.46,0.82,3.44,3.49,7.21
sh,="600068",葛洲坝,建筑与工程,6.4,1.03,3.03,5.94,6.11
sh,="601998",中信银行,银行,6.34,0.73,3.77,6.1,7.29
sh,="600376",首开股份,住宅地产开发和管理,6.17,0.96,4.52,8.85,21.55
sh,="601838",成都银行,银行,6.16,1,4.07,8.6,34.88
sh,="601668",中国建筑,建筑与工程,6.09,1,3.06,5.49,15.92
sh,="600569",安阳钢铁,黑色金属,6.03,0.7,3.44,2.42,29.68
sh,="600188",兖州煤业,煤炭,6.03,1,4.9,11.02,11.91
sh,="601288",农业银行,银行,6.02,0.76,4.86,3.58,1.74
sh,="600919",江苏银行,银行,5.96,0.83,4.72,7.21,38.35
sh,="601988",中国银行,银行,5.89,0.69,5,3.68,1.12
sh,="600997",开滦股份,煤炭,5.88,0.82,4.64,5.6,3.86
sz,="000069",华侨城Ａ,酒店餐饮与休闲,5.78,1,4.12,7.28,7.82
sh,="600153",建发股份,工业贸易经销商,5.67,0.92,5.63,8.88,6.59
sh,="601328",交通银行,银行,5.65,0.67,5.24,5.72,5.25
sh,="601169",北京银行,银行,5.64,0.69,5.04,5.67,3.11
sh,="601997",贵阳银行,银行,5.33,0.94,3.16,9.04,12.39
sh,="600016",民生银行,银行,5.24,0.66,5.51,6.26,6.9
sz,="002146",荣盛发展,住宅地产开发和管理,4.78,1.19,5.06,8.9,3.27
sh,="600282",南钢股份,黑色金属,4.19,0.89,9.34,3.21,12.48
sz,="002110",三钢闽光,黑色金属,3.66,1.16,16.34,8.16,26.75
sh,="601003",柳钢股份,黑色金属,3.54,1.3,11.49,5.22,18.11
sh,="600782",新钢股份,黑色金属,2.68,0.73,4.36,4.59,14.51

数据来源于：理杏仁网站(lixinger.com)
